NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
AL,0.0,0.0,9.18,32.0688,,66.05382857142857,108.0072
AT,,,,,,348.03,
AT11,30.887999999999998,3.7674000000000003,10.1988,43.4844,0.5004000000000001,34.7574,165.8988
AT12,30.6216,4.2588,10.1988,42.0516,0.5004000000000001,34.7058,159.6348
AT13,30.909600000000005,0.0,9.107999999999999,42.753600000000006,0.5004000000000001,34.65,0.0
AT21,30.877200000000002,4.1472,10.1988,42.9336,0.5004000000000001,36.1308,166.1724
AT22,30.744,4.6530000000000005,10.1988,42.5268,0.5004000000000001,35.0274,155.61360000000002
AT23,,7.2467999999999995,,,,,62.244
AT31,30.675599999999996,4.095000000000001,10.1988,42.1956,0.5004000000000001,35.79240000000001,156.7764
AT32,30.9996,3.8178,10.1988,43.7508,0.5004000000000001,36.4902,142.56
AT33,31.111200000000004,3.8502000000000005,10.1988,43.7652,0.5004000000000001,38.135400000000004,120.1896
AT34,30.837600000000002,3.5964,9.2952,42.192,0.5004000000000001,31.758,121.57560000000001
BA,0.0,0.0,9.18,32.0688,0.5004000000000001,66.20194285714287,81.78120000000001
BE,,,,,,354.6936,
BE10,30.978,0.0,9.107999999999999,39.7008,0.1476,35.1618,0.0
BE20,,6.9732,,,,,57.708
BE21,31.3812,3.7944000000000004,9.2952,43.376400000000004,0.1476,37.602,101.9016
BE22,31.3812,3.7926000000000006,9.2952,43.376400000000004,0.1476,36.9654,101.38680000000001
BE23,31.3812,3.7944000000000004,9.2952,43.092,0.1476,36.8598,105.0336
BE24,31.5432,3.8322000000000003,9.2952,45.0216,0.1476,36.141,104.2488
BE25,31.388399999999997,3.6162,8.928,43.160399999999996,0.1476,36.3996,105.1704
BE31,31.305600000000005,3.6323999999999996,9.442800000000002,42.7212,0.1476,36.444,103.158
BE32,31.3956,3.7962000000000002,9.442800000000002,43.074,0.1476,36.3144,108.2052
BE33,31.3992,4.518,9.442800000000002,43.2144,0.1476,36.458400000000005,104.868
BE34,31.3776,4.8726,9.442800000000002,43.11,0.1476,36.6696,112.5972
BE35,31.464000000000002,4.1777999999999995,9.442800000000002,43.2612,0.1476,36.54240000000001,106.9992
BG,,,,,,330.21,
BG31,19.976399999999998,2.9466,9.442800000000002,30.3552,0.0,28.9584,76.6224
BG32,19.965600000000002,2.7630000000000003,9.442800000000002,30.812399999999997,0.0,29.595,67.3344
BG33,19.965600000000002,2.7630000000000003,9.442800000000002,30.7044,0.0,30.1668,67.0248
BG34,19.9692,3.1248,9.442800000000002,30.9024,0.0,29.841000000000005,66.5856
BG41,20.005200000000002,3.1338000000000004,9.442800000000002,30.412799999999997,0.0,30.066000000000003,67.2804
BG42,19.983600000000003,3.4884,9.442800000000002,30.3228,0.0,29.922,76.1688
CH,,,,,,571.572,
CH01,0.0,0.0,9.107999999999999,19.447200000000002,0.0,33.6978,84.0672
CH02,0.0,0.0,9.107999999999999,19.4148,0.0,33.6978,82.764
CH03,0.0,0.0,9.107999999999999,19.3392,0.0,33.6978,128.6316
CH04,0.0,0.0,9.107999999999999,19.1736,0.0,33.6978,82.0908
CH05,0.0,0.0,9.107999999999999,18.7272,0.0,33.6978,80.9172
CH06,0.0,0.0,9.107999999999999,19.4652,0.0,33.6978,91.62360000000001
CH07,0.0,0.0,9.107999999999999,19.418400000000002,0.0,33.6978,91.62360000000001
CY,,,,,,556.7148000000001,
CY00,0.0,0.0,9.442800000000002,34.5312,0.018000000000000002,27.4104,85.3164
CZ,,,,,,323.54999999999995,
CZ01,29.455199999999998,2.8458000000000006,9.442800000000002,30.427200000000003,0.0,31.7256,99.36000000000001
CZ02,29.1924,3.1644,10.5516,30.1464,0.0,30.7092,94.34880000000001
CZ03,29.264400000000002,3.0042,10.5516,30.15,0.0,30.9264,80.928
CZ04,29.2572,3.0024,10.5516,30.967200000000002,0.0,31.322400000000002,90.2052
CZ05,29.2572,3.0024,10.5516,30.1464,0.0,30.792600000000004,87.8292
CZ06,29.260800000000003,3.0024,10.5516,30.618000000000002,0.0,30.578400000000002,88.95240000000001
CZ07,29.2716,3.0042,10.5516,30.535199999999996,0.0,30.4482,98.0244
CZ08,29.264400000000002,4.2606,10.5516,30.96,0.0,32.817,97.2324
DE,,,,,,394.3044,
DE11,31.179600000000004,3.5856,10.5516,42.8832,0.2088,34.434599999999996,112.55040000000001
DE12,31.154400000000003,3.7602,10.5516,42.696000000000005,0.2088,34.0236,116.7228
DE13,31.1904,3.7692,10.5516,42.5016,0.2088,34.635600000000004,101.82600000000001
DE14,31.179600000000004,3.5856,10.5516,42.3936,0.2088,35.160000000000004,109.58760000000001
DE21,31.233600000000003,3.96,10.5516,42.9696,0.2088,35.013600000000004,119.286
DE22,31.183200000000003,3.5874,10.5516,43.210800000000006,0.2088,34.870200000000004,116.60759999999999
DE23,31.183200000000003,3.7674000000000003,10.5516,42.3828,0.2088,35.4504,110.7396
DE24,31.176000000000002,3.5856,10.5516,42.3828,0.2088,35.7906,121.608
DE25,31.179600000000004,3.5856,10.5516,42.3972,0.2088,35.2098,111.7368
DE26,31.179600000000004,3.7656,11.372399999999999,42.4224,0.2088,34.8216,113.3424
DE27,31.204800000000002,3.5928,11.372399999999999,43.146,0.2088,35.109,120.45240000000001
DE30,31.402800000000003,3.6306,9.107999999999999,42.6816,0.2088,37.525200000000005,77.2452
DE40,31.150800000000004,3.9384,11.372399999999999,42.5916,0.2088,35.8506,99.7704
DE50,30.6036,3.4668,9.107999999999999,42.6096,0.2088,36.85920000000001,65.016
DE60,31.6548,3.7098,9.107999999999999,42.71040000000001,0.2088,37.440599999999996,64.8396
DE71,31.1976,3.7692,11.372399999999999,42.3648,0.2088,34.260600000000004,109.44
DE72,31.183200000000003,3.5874,11.372399999999999,42.3684,0.2088,34.4814,101.00880000000001
