NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
AL,663002.7777777778,0,0,222222.22222222222,219291.66666666663,4989200.0,6388.888888888888,143380.55555555556
AT,0,0,0,0,1580911.111111111,0,783611.1111111111,0
AT11,277358.3333333333,111111.11111111111,0,0,0,1907002.7777777775,0,430444.44444444444
AT12,2186658.333333333,722222.2222222221,23841.666666666664,27777.777777777777,0,12091211.11111111,0,1685333.3333333333
AT13,16938.888888888887,0,833.3333333333333,0,0,97691.66666666667,0,0
AT21,1788152.7777777778,527777.7777777778,0,0,0,5093502.777777776,0,272027.7777777778
AT22,3026372.2222222225,916666.6666666666,0,27777.777777777777,0,8619113.888888888,0,464361.1111111111
AT31,1518130.5555555555,472222.2222222222,0,0,0,5469041.666666666,0,698000.0
AT32,782552.7777777778,222222.22222222222,0,0,0,2306402.777777778,0,188444.44444444444
AT33,689208.3333333334,194444.44444444444,26797.22222222222,0,0,2056738.8888888888,0,244861.11111111112
AT34,105766.66666666666,27777.777777777777,4449.999999999999,0,0,365858.33333333326,0,91555.55555555555
BA,836944.4444444444,0,0,222222.22222222222,402034.44444444444,13167280.555555554,21111.11111111111,299347.2222222222
BE,0,0,0,0,7443391.666666665,0,2688888.8888888885,0
BE10,3191.6666666666665,0,680.5555555555554,0,0,844.4444444444445,0,0
BE21,325227.77777777775,111111.11111111111,40677.777777777774,833333.3333333333,0,789613.8888888888,0,70166.66666666666
BE22,312619.44444444444,83333.33333333333,36533.33333333333,194444.44444444444,0,1448597.2222222218,0,54444.44444444444
BE23,93480.55555555555,55555.555555555555,20900.0,444444.4444444444,0,1253936.111111111,0,120083.33333333333
BE24,82675.0,83333.33333333333,26783.333333333332,27777.777777777777,0,1507863.888888889,0,191666.66666666666
BE25,52119.44444444444,27777.777777777777,12477.777777777777,1194444.4444444443,0,2259227.7777777775,0,160416.66666666666
BE31,27891.666666666664,27777.777777777777,11333.333333333334,0,0,1607494.4444444443,0,118861.11111111111
BE32,52016.666666666664,111111.11111111111,37511.1111111111,83333.33333333333,0,3454072.222222222,0,145500.0
BE33,388172.2222222222,527777.7777777778,194955.55555555553,83333.33333333333,0,2797047.222222222,0,27722.22222222222
BE34,580769.4444444444,833333.3333333333,295286.11111111107,83333.33333333333,0,1672677.7777777775,0,34666.66666666666
BE35,199644.44444444444,333333.3333333333,119558.33333333333,111111.11111111111,0,2441222.2222222215,0,172833.3333333333
BG,0,0,0,0,686595.2777777778,0,0,0
BG31,548780.5555555555,27777.777777777777,52333.33333333333,0,0,5496369.444444445,0,374358.3333333333
BG32,422363.8888888889,27777.777777777777,36519.444444444445,361111.11111111107,0,4735163.888888889,0,1103225.0
BG33,379774.99999999994,27777.777777777777,35897.22222222222,222222.22222222222,0,5762249.999999999,0,1512769.4444444443
BG34,1269544.4444444445,55555.555555555555,107799.99999999999,138888.88888888888,0,4615116.666666666,0,472374.99999999994
BG41,1172113.8888888888,55555.555555555555,102758.33333333331,138888.88888888888,0,2673577.777777777,0,8630.555555555555
BG42,1835475.0,111111.11111111111,158163.88888888885,0,0,5928622.222222223,0,741722.2222222221
CH,0,0,0,0,5564999.999999999,0,0,0
CH01,979608.3333333333,0,0,0,0,1561530.5555555553,0,0
CH02,1533236.1111111108,0,0,0,0,2673775.0,0,0
CH03,375308.33333333326,0,0,0,0,691130.5555555554,0,0
CH04,347016.66666666657,0,0,0,0,600133.3333333333,0,0
CH05,1363050.0,0,0,0,0,2162080.5555555555,0,0
CH06,816177.7777777776,0,0,0,0,1260830.5555555555,0,0
CH07,235716.66666666666,0,0,0,0,571297.2222222222,0,0
CY,0,0,0,0,466453.8888888888,0,277.77777777777777,0
CY00,0,0,0,888888.8888888888,0,166666.66666666666,0,30883.33333333333
CZ,0,0,0,0,747074.4444444444,0,89444.44444444444,0
