NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
AL,1326005.5555555555,0,0,499999.99999999994,423010.8333333333,10722222.22222222,10833.333333333332,433052.77777777775
AT,0,0,0,0,2498146.111111111,0,1024166.6666666665,0
AT11,554716.6666666666,222222.22222222222,27286.11111111111,27777.777777777777,0,2057552.7777777773,0,692777.7777777778
AT12,4401094.444444444,1416666.6666666665,184880.55555555553,388888.8888888889,0,12972969.444444442,0,2786694.444444444
AT13,33877.777777777774,0,1669.4444444444441,0,0,91608.33333333333,0,0
AT21,3576305.5555555555,1055555.5555555555,140277.77777777775,83333.33333333333,0,5637813.888888888,0,400027.77777777775
AT22,6024963.888888888,1777777.7777777778,235105.55555555553,333333.3333333333,0,9512272.222222222,0,735833.3333333333
AT31,3036263.8888888885,944444.4444444444,122380.55555555555,444444.44444444444,0,5939694.444444444,0,1038777.7777777778
AT32,1565105.5555555555,444444.44444444444,61011.11111111111,27777.777777777777,0,2556266.6666666665,0,244361.1111111111
AT33,1350638.888888889,416666.6666666667,53597.22222222222,27777.777777777777,0,2305850.0,0,317472.22222222225
AT34,239308.3333333333,83333.33333333333,8899.999999999998,27777.777777777777,0,416755.5555555555,0,118722.2222222222
BA,1646108.3333333333,0,0,444444.44444444444,0.0,26638888.888888888,35555.555555555555,803374.9999999999
BE,0,0,0,0,12019113.888888888,0,4218055.555555555,0
BE10,6380.555555555555,0,1358.3333333333333,0,0,0,0,0
BE21,650455.5555555555,222222.2222222222,81355.55555555555,1944444.4444444443,0,857836.111111111,0,82749.99999999999
BE22,625236.111111111,194444.44444444444,73063.88888888888,694444.4444444444,0,1491936.1111111108,0,117916.66666666667
BE23,214741.66666666663,111111.11111111111,41800.0,1388888.8888888888,0,1295111.111111111,0,194777.77777777778
BE24,193127.77777777778,166666.66666666666,53569.44444444444,305555.5555555555,0,1604427.7777777775,0,310194.44444444444
BE25,104238.88888888888,83333.33333333333,24958.333333333332,2750000.0,0,2333363.8888888885,0,238833.3333333333
BE31,55783.33333333333,83333.33333333333,22663.888888888887,138888.88888888888,0,1630641.6666666663,0,232277.77777777775
BE32,104036.1111111111,194444.44444444444,75022.2222222222,861111.1111111111,0,3549511.111111111,0,322333.3333333333
BE33,804122.2222222222,1083333.3333333333,389908.3333333333,777777.7777777778,0,2954388.8888888885,0,119250.0
BE34,1161541.6666666665,1666666.6666666665,590569.4444444445,999999.9999999999,0,1841183.3333333333,0,44972.22222222222
BE35,371511.11111111107,666666.6666666666,239119.4444444444,777777.7777777778,0,2501377.7777777775,0,377333.3333333333
BG,0,0,0,0,918183.6111111111,0,0,0
BG31,1125336.111111111,55555.555555555555,104666.66666666666,83333.33333333333,0,6891008.333333333,0,739600.0
BG32,844730.5555555555,27777.777777777777,73041.66666666667,527777.7777777778,0,5383861.111111111,0,1916099.9999999998
BG33,731769.4444444444,27777.777777777777,71791.66666666666,416666.66666666657,0,6856647.222222222,0,2517916.6666666665
BG34,2511311.111111111,111111.11111111111,215599.99999999997,222222.22222222222,0,5398086.11111111,0,1028286.111111111
BG41,2344230.5555555555,111111.11111111111,205519.44444444444,249999.99999999997,0,3188916.6666666665,0,180850.0
BG42,3670950.0,166666.66666666666,316327.7777777777,138888.88888888888,0,8082416.666666667,0,1297488.8888888888
CH,0,0,0,0,7802447.222222221,0,0,0
CH01,1931441.6666666665,0,0,0,0,1722222.222222222,0,0
CH02,3066469.444444444,0,0,0,0,2944444.444444444,0,0
CH03,750616.6666666665,0,0,0,0,777777.7777777776,0,0
CH04,694036.111111111,0,0,0,0,666666.6666666666,0,0
CH05,2698325.0,0,0,0,0,2361111.111111111,0,0
CH06,1632355.5555555553,0,0,0,0,1388888.8888888885,0,0
CH07,443658.33333333326,0,0,0,0,638888.8888888888,0,0
CY,0,0,0,0,610788.3333333333,0,555.5555555555555,0
CY00,0,0,0,1194444.4444444443,0,250000.0,0,129416.66666666666
CZ,0,0,0,0,977716.111111111,0,151944.44444444444,0
CZ01,30983.333333333332,305555.55555555556,105183.33333333333,0,0,67005.55555555555,0,28983.333333333332
CZ02,1492399.9999999998,722222.2222222221,262077.77777777775,1555555.5555555553,0,6842461.111111111,0,1976977.7777777775
CZ03,3973250.0,249999.99999999997,93344.44444444444,2972222.222222222,0,7999766.666666665,0,1523413.888888889
CZ04,1262538.8888888888,444444.44444444444,156047.22222222222,527777.7777777778,0,3066752.777777777,0,1006247.2222222221
CZ05,2357169.4444444445,416666.6666666667,150030.55555555553,2277777.7777777775,0,7812936.11111111,0,1418127.7777777778
CZ06,2186766.6666666665,388888.8888888889,139536.11111111112,2861111.111111111,0,6145677.777777777,0,2417469.444444444
CZ07,1900752.7777777775,222222.22222222222,78161.11111111111,1277777.7777777775,0,5910836.11111111,0,1132952.7777777778
CZ08,1017738.8888888888,2749999.9999999995,986944.4444444444,666666.6666666666,0,3159036.111111111,0,612680.5555555555
DE,0,0,0,0,34191888.88888889,0,2686388.8888888885,0
DE11,1547024.9999999998,305555.5555555555,82969.44444444444,583333.3333333333,0,4376300.0,0,1864794.4444444443
DE12,2138050.0,416666.6666666666,104997.2222222222,111111.11111111111,0,3374716.6666666665,0,713819.4444444444
DE13,2539380.555555555,527777.7777777778,132325.0,250000.0,0,4222994.444444445,0,677383.3333333333
DE14,1379333.3333333333,249999.99999999997,67355.55555555555,555555.5555555555,0,3098036.1111111105,0,1161377.7777777778
DE21,8225391.666666665,1416666.6666666665,360705.5555555555,722222.2222222221,0,11625088.88888889,0,2792816.6666666665
DE22,1705677.7777777778,277777.77777777775,76291.66666666666,638888.8888888889,0,4295666.666666666,0,2264341.6666666665
DE23,3854188.888888888,638888.8888888888,159052.77777777778,388888.8888888888,0,5265255.555555554,0,1315824.9999999998
DE24,1659572.222222222,277777.77777777775,71825.0,194444.44444444444,0,2881952.7777777775,0,1082722.222222222
DE25,1479713.8888888888,249999.99999999997,64238.88888888888,305555.5555555555,0,2869563.8888888885,0,1311530.5555555555
DE26,3773986.1111111105,666666.6666666666,171441.66666666666,194444.44444444444,0,6080722.222222222,0,1664144.4444444443
DE27,1572911.1111111108,277777.77777777775,74391.66666666666,555555.5555555555,0,3794133.3333333326,0,1763044.4444444443
DE30,109969.44444444444,27777.777777777777,5636.11111111111,0,0,111861.11111111111,0,0
DE40,7843822.222222221,1222222.222222222,315130.55555555556,2250000.0,0,10348925.0,0,306847.2222222222
DE50,330497.2222222222,27777.777777777777,12830.555555555555,0,0,305630.5555555555,0,0
DE60,21955.555555555555,0,1236.111111111111,0,0,38633.33333333333,0,0
DE71,1820680.5555555553,388888.8888888889,100269.44444444444,166666.66666666666,0,3726838.888888889,0,684041.6666666666
DE72,1119413.8888888888,249999.99999999997,61769.444444444445,166666.66666666666,0,2452294.444444444,0,500641.6666666666
DE73,1780455.5555555553,361111.11111111107,91461.1111111111,333333.33333333326,0,3766441.666666666,0,922788.8888888888
DE80,3250744.444444444,666666.6666666666,174547.2222222222,2138888.8888888885,0,12834230.555555556,0,5860394.444444444
