,Other industrial sectors,Wood and wood products,Textiles and leather,Transport equipment,Machinery equipment,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Aluminium - secondary production - electric,Other non-ferrous metals,Cement,Ceramics & other NMM,Glass production,Basic chemicals,Basic chemicals | NH3 + SMR,Basic chemicals | methanol,Basic chemicals | Cl2,Basic chemicals | HVC,Basic chemicals | HVC mechanical recycling,Basic chemicals | HVC chemical recycling,Basic chemicals | NH3,Other chemicals,Pharmaceutical products etc.,Electric arc,DRI + Electric arc,Integrated steelworks
elec,0.1799735916255343,0.38111069957405536,0.2579828018655024,0.20237637649605136,0.1921294827954628,1.0396994418992676,0.287789213037408,1.1798699002243132,0.41998479843821857,0.0,12.122540972756315,0.0,1.6311175373460678,0.0,0.05811340997275185,0.06849910824977593,0.44939626333631644,0.6500877546097021,0.7,0.167,3.6,0.15948875777187638,0.547,6.9,1.17,0.255423066642277,1.0530872065384638,0.9049989381559774,1.2269989381559774,0.886140103941394
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228441766479378,0.0,0.0,0.0,0.042883614984417284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545013109358749
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5488956484782586,10.8,10.25,0.0,2.893255209359347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966978398263205
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9372,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.7,0.0
heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naphtha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.558542981729426,0.0,0.0,0.0,12.311848066217188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process emission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392133662,0.0,0.0,0.14057795975475487,0.5195091461019276,0.015146216307256722,0.12564297276740363,0.21721801364629292,0.00784,0.0,0.0,0.40589486155856064,0.0,0.0,0.0,0.0,0.0,0.0323343855996467,0.0323343855996467,0.5901025371935521
process emission from feedstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.077962016554297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process heat,0.09089461150769698,0.7082847611573124,0.12835114580977433,0.04816717915319503,0.05616760718791093,0.8940373476193232,1.4661338295395983,0.0,0.36960754120094796,0.625318807301182,1.069120278839909,0.963588143922961,0.0,1.9612616347029337,0.030948404493812302,0.3717548775871803,0.0,1.3189496299436412,0.0,0.0,0.0,2.4759626484261448,0.0,0.0,0.0,1.648988244193493,1.31819330809735,0.0,0.0,0.0
lowT process heat,0.05313838826603824,0.41407416806119807,0.07503605447340654,0.02775735747811239,0.032367773633711384,0.3998648052643386,0.6557391811442929,0.0,0.27606489188465866,0.12182162932412159,0.2082809165357575,0.1877216490524695,0.0,0.38208364290461017,0.005338728237365652,0.06412925948250105,0.0,0.46045628644281855,0.0,0.0,0.0,0.8643791548841361,0.0,0.0,0.0,0.5756755118401632,0.4601922481954189,0.0,0.0,0.0
mediumT process heat,0.03775622324165875,0.2942105930961144,0.053315091336367804,0.019593428808079336,0.022847840212031567,0.4790833044204812,0.7856497736351433,0.0,0.07300889702734774,0.22624016874479724,0.38680741642354965,0.3486259196688719,0.0,0.7095839082514189,0.009299720155411136,0.11170903264693732,0.0,0.07837553811792657,0.0,0.0,0.0,0.14712836678878913,0.0,0.0,0.0,0.0979873211642831,0.07833059543751811,0.0,0.0,0.0
highT process heat,0.0,0.0,0.0,0.0,0.0,0.015089237934503343,0.024744874760161992,0.0,0.02281528032104617,0.27725700923226315,0.47403194588060193,0.4272405752016196,0.0,0.8695940835469047,0.01648217314095054,0.19798527124750007,0.0,0.7801178053828962,0.0,0.0,0.0,1.4644551267532198,0.0,0.0,0.0,0.9753254111890469,0.7796704644644131,0.0,0.0,0.0
furnaces heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725086003938979,0.0,0.0,0.0,0.0,0.4193822677760879,0.0,0.597525458250375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4631269942870844,0.388271677790613,0.07561051645463382,0.07561051645463382,0.0
production (kt),132542.0531969559,9093.289145818379,6753.075169495177,92870.93874374752,169296.1838309796,2327.03,23124.61,2213.18608695652,41390.14074215912,1899.385163802225,286.4985577640374,645.9942310561496,859.4956732921122,2514.879008179959,34966.0,53899.14257918444,7297.747439464279,0.0,0.0,0.0,3179.0,13089.0,0.0,0.0,3125.0,8141.74150718065,0.0,12941.412,0.0,27124.879
